subj_ID,subj_sex,item_ID,item_cat,resp,(Intercept),sex1,cat1,sex1:cat1
10,F,11,B,1,1,1,-1,-1
10,F,12,B,1,1,1,-1,-1
10,F,13,B,0,1,1,-1,-1
10,F,14,B,0,1,1,-1,-1
10,F,15,B,1,1,1,-1,-1
10,F,16,B,0,1,1,-1,-1
10,F,17,B,1,1,1,-1,-1
10,F,18,B,0,1,1,-1,-1
11,F,1,A,0,1,1,1,1
11,F,2,A,1,1,1,1,1
11,F,3,A,1,1,1,1,1
11,F,4,A,0,1,1,1,1
11,F,5,A,1,1,1,1,1
11,F,6,A,1,1,1,1,1
11,F,7,A,0,1,1,1,1
11,F,8,A,0,1,1,1,1
11,F,9,A,0,1,1,1,1
11,F,10,B,0,1,1,-1,-1
11,F,11,B,0,1,1,-1,-1
11,F,12,B,1,1,1,-1,-1
11,F,13,B,1,1,1,-1,-1
11,F,14,B,1,1,1,-1,-1
11,F,15,B,1,1,1,-1,-1
11,F,16,B,0,1,1,-1,-1
11,F,17,B,1,1,1,-1,-1
11,F,18,B,1,1,1,-1,-1
12,F,1,A,1,1,1,1,1
12,F,2,A,1,1,1,1,1
12,F,3,A,1,1,1,1,1
12,F,4,A,0,1,1,1,1
12,F,5,A,0,1,1,1,1
12,F,6,A,1,1,1,1,1
12,F,7,A,1,1,1,1,1
12,F,8,A,1,1,1,1,1
12,F,9,A,1,1,1,1,1
12,F,10,B,0,1,1,-1,-1
12,F,11,B,1,1,1,-1,-1
12,F,12,B,1,1,1,-1,-1
12,F,13,B,0,1,1,-1,-1
12,F,14,B,0,1,1,-1,-1
12,F,15,B,1,1,1,-1,-1
12,F,16,B,0,1,1,-1,-1
12,F,17,B,1,1,1,-1,-1
12,F,18,B,1,1,1,-1,-1
13,F,1,A,0,1,1,1,1
13,F,2,A,1,1,1,1,1
13,F,3,A,1,1,1,1,1
13,F,4,A,0,1,1,1,1
13,F,5,A,0,1,1,1,1
13,F,6,A,1,1,1,1,1
13,F,7,A,1,1,1,1,1
13,F,8,A,1,1,1,1,1
13,F,9,A,1,1,1,1,1
13,F,10,B,0,1,1,-1,-1
13,F,11,B,1,1,1,-1,-1
13,F,12,B,0,1,1,-1,-1
13,F,13,B,0,1,1,-1,-1
13,F,14,B,0,1,1,-1,-1
13,F,15,B,1,1,1,-1,-1
13,F,16,B,1,1,1,-1,-1
13,F,17,B,1,1,1,-1,-1
13,F,18,B,0,1,1,-1,-1
14,F,1,A,0,1,1,1,1
14,F,2,A,0,1,1,1,1
14,F,3,A,1,1,1,1,1
14,F,4,A,0,1,1,1,1
14,F,5,A,0,1,1,1,1
14,F,6,A,0,1,1,1,1
14,F,7,A,0,1,1,1,1
14,F,8,A,0,1,1,1,1
14,F,9,A,0,1,1,1,1
14,F,10,B,0,1,1,-1,-1
14,F,11,B,0,1,1,-1,-1
14,F,12,B,1,1,1,-1,-1
14,F,13,B,0,1,1,-1,-1
14,F,14,B,0,1,1,-1,-1
14,F,15,B,0,1,1,-1,-1
14,F,16,B,1,1,1,-1,-1
14,F,17,B,0,1,1,-1,-1
14,F,18,B,0,1,1,-1,-1
15,F,1,A,0,1,1,1,1
15,F,2,A,1,1,1,1,1
15,F,3,A,1,1,1,1,1
15,F,4,A,0,1,1,1,1
15,F,5,A,0,1,1,1,1
15,F,6,A,0,1,1,1,1
15,F,7,A,0,1,1,1,1
15,F,8,A,0,1,1,1,1
15,F,9,A,1,1,1,1,1
15,F,10,B,0,1,1,-1,-1
15,F,11,B,1,1,1,-1,-1
15,F,12,B,0,1,1,-1,-1
15,F,13,B,0,1,1,-1,-1
15,F,14,B,0,1,1,-1,-1
15,F,15,B,1,1,1,-1,-1
15,F,16,B,0,1,1,-1,-1
15,F,17,B,0,1,1,-1,-1
15,F,18,B,0,1,1,-1,-1
16,F,1,A,0,1,1,1,1
16,F,2,A,1,1,1,1,1
16,F,3,A,0,1,1,1,1
16,F,4,A,1,1,1,1,1
16,F,5,A,0,1,1,1,1
16,F,6,A,0,1,1,1,1
16,F,7,A,0,1,1,1,1
16,F,8,A,0,1,1,1,1
16,F,9,A,0,1,1,1,1
16,F,10,B,1,1,1,-1,-1
16,F,11,B,1,1,1,-1,-1
16,F,12,B,0,1,1,-1,-1
16,F,13,B,0,1,1,-1,-1
16,F,14,B,0,1,1,-1,-1
16,F,15,B,1,1,1,-1,-1
16,F,16,B,0,1,1,-1,-1
16,F,17,B,0,1,1,-1,-1
16,F,18,B,0,1,1,-1,-1
17,F,1,A,1,1,1,1,1
17,F,2,A,1,1,1,1,1
17,F,3,A,1,1,1,1,1
17,F,4,A,1,1,1,1,1
17,F,5,A,1,1,1,1,1
17,F,6,A,1,1,1,1,1
17,F,7,A,1,1,1,1,1
17,F,8,A,1,1,1,1,1
17,F,9,A,1,1,1,1,1
17,F,10,B,1,1,1,-1,-1
17,F,11,B,1,1,1,-1,-1
17,F,12,B,0,1,1,-1,-1
17,F,13,B,1,1,1,-1,-1
17,F,14,B,1,1,1,-1,-1
17,F,15,B,0,1,1,-1,-1
17,F,16,B,1,1,1,-1,-1
17,F,17,B,1,1,1,-1,-1
17,F,18,B,1,1,1,-1,-1
18,F,1,A,0,1,1,1,1
18,F,2,A,1,1,1,1,1
18,F,3,A,0,1,1,1,1
18,F,4,A,0,1,1,1,1
18,F,5,A,0,1,1,1,1
18,F,6,A,0,1,1,1,1
18,F,7,A,0,1,1,1,1
18,F,8,A,1,1,1,1,1
18,F,9,A,0,1,1,1,1
18,F,10,B,0,1,1,-1,-1
18,F,11,B,0,1,1,-1,-1
18,F,12,B,0,1,1,-1,-1
18,F,13,B,0,1,1,-1,-1
18,F,14,B,0,1,1,-1,-1
18,F,15,B,1,1,1,-1,-1
18,F,16,B,0,1,1,-1,-1
18,F,17,B,0,1,1,-1,-1
18,F,18,B,0,1,1,-1,-1
